"x"
132
12737
558
106
384
3348
1620
102
19510
2122
518
11480
7685
6680
4267
12932
143
11587
11784
10726
4125
5828
12523
9608
3419
6765
4929
13420
177
15729
8080
12173
8399
16877
25287
14672
19613
6093
19335
5439
30735
5785
29617
3868
5920
19077
10154
3788
4736
12383
13328
16657
4916
1710
6336
8890
8984
48300
4640
1312
6674
20883
26955
6666
3899
9831
7475
4731
14650
7135
22963
16476
5341
4772
5344
955
8519
15810
5398
9560
3010
20821
12721
12914
10171
300
23150
24233
25668
9203
39365
39679
3887
8926
38242
10349
15251
2911
8905
23757
27583
5272
6166
6406
3731
5019
6826
16888
27353
9488
7517
30574
5835
16592
11256
1229
930
160
9187
4107
12320
51979
9808
43324
6078
3378
17908
8795
19485
17882
19263
55003
979
26753
11483
7717
10577
545
12499
11277
8000
31020
738
26242
16060
100
43932
7463
25250
32962
8045
6625
16729
13011
13966
8669
38811
2381
17242
11969
8484
6366
38217
18676
15215
5769
3670
5575
46670
4769
12213
8249
2004
16906
4413
407
9401
26612
5619
21737
7417
2282
1293
7930
3692
554
40261
8359
4689
1861
732
6503
4076
45669
9166
19020
3574
14435
30709
8955
7363
7349
5836
17706
15056
3885
23686
4945
3657
35583
7008
775
46661
2467
57600
5097
5755
18400
8773
22341
17283
7071
51722
27653
9432
1020
11989
12460
2463
17966
55285
19889
11162
12409
8822
32359
6417
3906
17637
1088
7229
56039
6501
1048
5073
41813
7582
40466
28509
10872
9361
3278
17614
4740
44807
10569
11899
6331
8774
20688
19811
8113
732
10808
8740
2324
9648
1216
5233
18297
21184
8391
3722
3875
18944
10592
24330
9651
13766
9213
6060
21669
11818
25500
1125
42245
18021
27157
2415
7612
2341
20639
25911
10338
2758
14459
12362
26639
328
266
8176
13841
579
1560
26539
2390
9135
24501
10315
49132
5375
20802
3111
6833
3235
29316
1953
16601
4323
29642
11127
4007
1453
739
8359
17932
70
21749
8277
53811
29227
12529
63764
4740
568
16524
1022
29132
83
14498
25066
23828
33148
22885
7318
5644
24327
27342
790
4585
7808
4311
17479
13113
6741
1035
42802
3836
499
21207
6189
15587
47624
4013
450
1789
9298
17299
40075
7712
22187
7649
12439
40616
1810
3193
18100
43100
12171
47706
9843
2199
3997
22790
9727
4844
11191
11336
5243
31718
5818
3251
22639
31648
20038
19921
8792
36020
3019
5360
22624
8658
35212
25845
2582
5006
125
5123
1843
12437
14224
72
6997
23047
12580
5536
5313
4599
19776
36121
6343
13960
16177
4575
19908
12875
26138
20398
23770
10773
4236
7372
24002
953
2741
7896
41538
10426
2072
42527
1824
28253
7892
13465
2235
24430
3132
11491
516
28501
2765
2094
4290
29127
21676
37820
11520
20010
10187
157
27994
6918
19117
5371
890
41226
8385
3134
9788
200
12822
5567
13633
18468
9420
75
106
24532
9815
23176
2907
7594
12881
64763
45781
13600
15162
29610
12730
62114
498
38611
16987
43911
11487
43903
56
13271
3304
14126
13213
37452
4485
11538
10632
18205
1684
30882
46620
2627
62698
24428
10930
2682
55376
44669
10588
62908
44226
9737
54176
31066
686
32173
41821
145
8337
12970
11348
391
2317
27642
13325
42171
21348
3504
51155
24948
39195
68338
93473
19355
2041
20084
56016
26987
54268
29353
33638
983
30723
32508
26043
35320
4300
19095
51475
1940
233
70702
37842
30202
12911
29300
124
31737
2369
14392
19266
39521
22230
33225
13222
24016
14349
14434
7942
813
