"","osm_id","name","Block_number","City","Country","County","Housenumber","State","Postcode","Street","geometry"
"655428288","655428288","Così",NA,NA,NA,NA,"140",NA,NA,"South 36th Street",c(-75.1949927, 39.9535857)
"662015156","662015156","Custom Burgers",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.1738311, 40.6948106)
"663387602","663387602","Taco Bell Cantina",NA,NA,NA,NA,"500",NA,"10018","8th Avenue",c(-73.9926431, 40.7529683)
"666303126","666303126","Chick-fil-A",NA,"Philadelphia",NA,NA,"335","PA","19104","Race Street",c(-75.1906391, 39.9588981)
"671029142","671029142","Lok Yuan Chinese",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.390852, 40.6036016)
"671071295","671071295","2 Bros. Pizza",NA,NA,NA,NA,"542",NA,"10018","9th Avenue",c(-73.9934438, 40.7569564)
"671300415","671300415","Moe's Southwest Grill",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.1645128, 41.078743)
"671300796","671300796","Dunkin'",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.1661736, 41.0786783)
"671343594","671343594","Dunkin' Donuts",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.1465104, 41.0999045)
"671344140","671344140","Dairy Queen",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.1448045, 41.0984169)
"683654598","683654598","Dunkin'",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.7980989, 40.3361755)
"693986996","693986996","Sbarro",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.1879756, 41.1514068)
"693986997","693986997","Dunkin'",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.1879578, 41.1512229)
"693986998","693986998","Burger King",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.1879672, 41.1513185)
"703467192","703467192","Dunkin'",NA,"Croton-on-Hudson",NA,NA,"22","NY","10520","Maple Street",c(-73.8850627, 41.2015942)
"704648143","704648143","Wendy's",NA,NA,NA,NA,NA,NA,NA,NA,c(-74.1253245, 40.402662)
"708024070","708024070","Dunkin'",NA,"Washington",NA,NA,"156","NJ","07882","NJ 31",c(-74.9748162, 40.759991)
"735968816","735968816","Dunkin'",NA,NA,NA,NA,NA,NA,NA,NA,c(-75.3127329, 40.7316918)
