"Name","Category","geometry"
"Burger King","Fast Food",c(-75.147234, 40.679391)
"Panera Bread","Fast Food",c(-75.1504722, 40.6837667)
"Belmont Grill","Fast Food",c(-74.1886834, 40.9518849)
"Dunkin' Donuts","Fast Food",c(-74.4652779, 40.8426779)
"Chipotle","Fast Food",c(-73.9850334, 40.7484288)
"Le Basket","Fast Food",c(-73.994851, 40.7279757)
"Burger King","Fast Food",c(-74.011915, 40.7096762)
"Subway","Fast Food",c(-75.2975556, 40.835217)
"Yogurberry","Fast Food",c(-73.9585512, 40.7168705)
"Dunkin'","Fast Food",c(-75.2959664, 40.8384496)
"Oasis","Fast Food",c(-73.957349, 40.717722)
"McDonald's","Fast Food",c(-74.0106665, 40.7162978)
"Five Guys","Fast Food",c(-75.4315848, 40.0740951)
"Chipotle","Fast Food",c(-74.0069799, 40.7067224)
"Saladworks","Fast Food",c(-75.4339558, 40.0731756)
"Dairy Queen","Fast Food",c(-74.5046274, 39.427835)
"Subway","Fast Food",c(-75.4468995, 40.0685136)
"Manhattan Bagel","Fast Food",c(-75.4563313, 40.0740822)
"Bravo Pizza","Fast Food",c(-75.4774809, 40.0414225)
"Einstein Bros. Bagels","Fast Food",c(-75.4774863, 40.0415416)
"Papa John's","Fast Food",c(-75.4383785, 40.0483204)
"Domino's","Fast Food",c(-75.3903507, 40.0438753)
"Subway","Fast Food",c(-75.3992771, 40.0446309)
"Domino's","Fast Food",c(-75.3691031, 40.6317052)
"Little Caesars","Fast Food",c(-75.367299, 40.6334776)
"Pizza Hut","Fast Food",c(-75.3694972, 40.6305959)
"Dunkin' Donuts","Fast Food",c(-75.3706353, 40.6307289)
"Subway","Fast Food",c(-75.3782729, 40.6105603)
"Dunkin' Donuts","Fast Food",c(-74.3045438, 40.2415869)
"Baccios","Fast Food",c(-74.3056452, 40.2421593)
"Burger King","Fast Food",c(-74.2774712, 40.2403657)
"Dunkin'","Fast Food",c(-75.1782901, 40.0672074)
"Subway","Fast Food",c(-75.5296805, 40.0435823)
"McDonald's","Fast Food",c(-75.5295119, 40.0425957)
"Wendy's","Fast Food",c(-75.4932405, 40.0412466)
"Joe's Pizza","Fast Food",c(-75.3412564, 39.6457113)
"Papa Luigi's Pizza","Fast Food",c(-75.3279308, 39.6529117)
"Gus'es Pizza","Fast Food",c(-75.3282312, 39.6507144)
"Dairy Queen","Fast Food",c(-74.3024544, 40.6222654)
"McDonald's","Fast Food",c(-75.3470012, 40.1522684)
"Popeyes","Fast Food",c(-74.0804757, 40.9735507)
"McDonald's","Fast Food",c(-74.1810593, 40.8364547)
"Subway","Fast Food",c(-74.6638586, 40.2047635)
