"Name","Category","geometry"
"Dunkin'","Fast Food",c(-73.9642727, 40.6411097)
"McDonald's","Fast Food",c(-73.9432788, 40.7118221)
"La Bagel Delight","Fast Food",c(-73.9753858, 40.687279)
"Four Seasons Grill","Fast Food",c(-73.9717797, 40.6765675)
"Autumn Asian Restaurant","Fast Food",c(-73.9721944, 40.6771448)
"Dunkin'","Fast Food",c(-73.9410508, 40.7120425)
"Dairy Queen","Fast Food",c(-74.0836861, 40.7185523)
"Five Guys","Fast Food",c(-73.9926281, 40.7479533)
"Five Guys","Fast Food",c(-73.9962778, 40.7369057)
"Popeyes","Fast Food",c(-73.9554832, 40.6812272)
"Shake Shack","Fast Food",c(-73.9940577, 40.703039)
"Deep Indian Kitchen","Fast Food",c(-73.9905046, 40.7421269)
"Jersey Mike's Subs","Fast Food",c(-74.1952209, 40.8639718)
"Chipotle","Fast Food",c(-74.0064426, 40.7096984)
"Bare Burger","Fast Food",c(-74.0062023, 40.7099041)
"Dunkin' Donuts","Fast Food",c(-74.2083782, 40.8421307)
"Dunkin'","Fast Food",c(-73.9891438, 40.7339346)
"Subway","Fast Food",c(-73.9890767, 40.7342598)
"Juice Press","Fast Food",c(-73.9796301, 40.7816951)
"Dunkin'","Fast Food",c(-73.9976359, 40.7561173)
"McDonald's","Fast Food",c(-75.1429373, 40.6783939)
"Dairy Queen","Fast Food",c(-75.5342741, 40.193901)
"Suzy Jo Donuts","Fast Food",c(-75.5344304, 40.1936149)
"Chipotle","Fast Food",c(-73.9939936, 40.7460329)
"Patsy's Pizzeria","Fast Food",c(-73.9774877, 40.7787125)
"Ample Hills Creamery","Fast Food",c(-74.0006422, 40.6945651)
"Così","Fast Food",c(-73.9824341, 40.745224)
"Greenpoint Original Pizza","Fast Food",c(-73.9515062, 40.7256409)
"Chuck's Spring Street Cafe","Fast Food",c(-74.6597115, 40.3511201)
"Popcorn Obsession","Fast Food",c(-75.5493066, 39.8824082)
"Kampo Garden","Fast Food",c(-75.5486601, 39.7429424)
"Dunkin'","Fast Food",c(-75.2082612, 39.9581781)
"Dunkin'","Fast Food",c(-75.3196758, 40.1449798)
"McDonald's","Fast Food",c(-75.3115512, 40.0679253)
"Chipotle","Fast Food",c(-73.9660817, 40.7626004)
"Ambizza Cafe (Food Truck)","Fast Food",c(-74.0085018, 40.7040965)
"Desi Express (food truck)","Fast Food",c(-74.0091492, 40.7041695)
"Medo Halal Food","Fast Food",c(-73.9545158, 40.7783322)
"Dunkin'","Fast Food",c(-73.9909368, 40.7513324)
"Poké Bar","Fast Food",c(-73.9879376, 40.7510615)
"Georges Water Ice","Fast Food",c(-75.2621385, 39.952928)
"Falafel","Fast Food",c(-75.2633079, 39.952566)
"White Castle","Fast Food",c(-75.1426655, 40.6765344)
"Subway","Fast Food",c(-74.6838659, 40.2497943)
"Domino's","Fast Food",c(-74.5495893, 40.2607121)
"Moe's Southwest Grill","Fast Food",c(-74.5495384, 40.260837)
"Wendy's","Fast Food",c(-74.2977631, 40.8505591)
"Smoothie King","Fast Food",c(-74.903232, 39.9698387)
"Currito Burritos","Fast Food",c(-75.2470876, 39.8745475)
"Yummy Pretzels","Fast Food",c(-75.247132, 39.873677)
"Piattino","Fast Food",c(-75.2471117, 39.8744988)
"Five Guys","Fast Food",c(-75.1665787, 39.9512998)
"Qu Japan Bistro & Bar","Fast Food",c(-75.1682079, 39.9534766)
"Dunkin'","Fast Food",c(-75.1632279, 39.9491182)
"Dunkin' Donuts","Fast Food",c(-74.2907579, 40.6763311)
"Dunkin'","Fast Food",c(-74.016589, 41.2208032)
"Jimmy John's","Fast Food",c(-75.2626842, 40.6751223)
"Arby's","Fast Food",c(-75.2481278, 40.6826696)
"Little Caesars","Fast Food",c(-75.2477236, 40.6827304)
"Wayback Burgers","Fast Food",c(-75.2859724, 40.6556489)
"Five Guys","Fast Food",c(-75.2851567, 40.7129665)
"Dunkin' Donuts","Fast Food",c(-75.3078543, 40.6660381)
"Chipotle","Fast Food",c(-75.5365427, 39.1867802)
"Jersey Mike's Subs","Fast Food",c(-75.5401277, 39.1896822)
"KFC","Fast Food",c(-75.3464964, 40.6452713)
"Wendy's","Fast Food",c(-75.5537814, 39.1976508)
"Chick-fil-A","Fast Food",c(-75.5413418, 39.1850601)
"J's Subs","Fast Food",c(-75.3488274, 40.6377243)
"Deli","Fast Food",c(-73.9362177, 40.7594711)
"Dunkin'","Fast Food",c(-73.9296679, 40.7564081)
"Leo's","Fast Food",c(-73.9295015, 40.7565866)
"Napoli Pizza and Pasta","Fast Food",c(-73.9406436, 40.7614572)
"Palace Fried Chicken","Fast Food",c(-73.9367162, 40.7597055)
"Rio Market Inc","Fast Food",c(-73.9282141, 40.7560254)
"Panera Bread","Fast Food",c(-73.9224753, 40.7554629)
"Subway","Fast Food",c(-73.9232935, 40.7558513)
"Dunkin'","Fast Food",c(-73.9252932, 40.7555102)
"Dunkin'","Fast Food",c(-73.9950611, 40.7605371)
"Potbelly","Fast Food",c(-74.005909, 40.7144017)
"Subway","Fast Food",c(-75.3850102, 40.516856)
"Chipotle","Fast Food",c(-74.4314591, 40.5544771)
"Subway","Fast Food",c(-74.0646773, 40.7314306)
"Dunkin'","Fast Food",c(-73.9716497, 40.7502728)
"D & F Italian Deli","Fast Food",c(-73.9214942, 40.7603021)
"Dan and John's Wings","Fast Food",c(-73.9853497, 40.7278427)
"McDonald's","Fast Food",c(-74.0646538, 40.7317213)
"Adam's Bagel & Deli","Fast Food",c(-74.1774473, 40.9154111)
"Chipotle","Fast Food",c(-74.4045039, 40.7065131)
"Dunkin'","Fast Food",c(-75.2093974, 40.6916933)
"Hua Long Restaurant","Fast Food",c(-73.9737236, 40.6858803)
"Subway","Fast Food",c(-75.2110116, 40.6771993)
"Dunkin' Donuts","Fast Food",c(-75.2107273, 40.6770365)
"Cafe Metro","Fast Food",c(-73.9744244, 40.7539462)
"Subway","Fast Food",c(-74.2332738, 40.5169018)
"Just Salad","Fast Food",c(-73.9938457, 40.7462312)
"Tommy's","Fast Food",c(-73.9452789, 40.8330876)
"Oriental Chinese Restaurant","Fast Food",c(-73.9448203, 40.8337123)
"Empanadas Monumental","Fast Food",c(-73.9448291, 40.8336991)
"Polish Water Ice","Fast Food",c(-74.0698082, 39.9459663)
"Hershey's Shake Shoppe","Fast Food",c(-74.0701042, 39.9443563)
"Curley's Fries","Fast Food",c(-74.0702107, 39.9426623)
"TLC's Polish Water Ice","Fast Food",c(-74.0716053, 39.9384525)
"Johnny G's Pizza Factory","Fast Food",c(-74.0715764, 39.9385513)
"The 3 Luigis","Fast Food",c(-73.9626434, 40.6882992)
"The Belly Flop Cafe","Fast Food",c(-74.1623566, 40.422453)
"Four Boys Ice Cream","Fast Food",c(-74.4358372, 40.3477909)
"Dunkin' Donuts","Fast Food",c(-74.4335414, 40.3465551)
"Popeyes","Fast Food",c(-73.9380441, 40.8044651)
"Taco Bell","Fast Food",c(-73.9418046, 40.8060573)
"The Marketplace","Fast Food",c(-75.1313472, 39.9458412)
"Burger King","Fast Food",c(-75.0006286, 39.4782204)
"Boston Market","Fast Food",c(-75.0006002, 39.4786692)
"Dunkin'","Fast Food",c(-73.9716162, 40.6476342)
"Dunkin' Donuts","Fast Food",c(-75.0975887, 39.9092324)
"Little Caesars","Fast Food",c(-75.0976155, 39.9099837)
"Pizza","Fast Food",c(-75.0960306, 39.9055731)
"Dunkin'","Fast Food",c(-75.1189549, 39.9435909)
"Pizza From Heaven","Fast Food",c(-75.1190616, 39.9460934)
"Little Slice of New York","Fast Food",c(-75.1233156, 39.947029)
"Golden Dragon","Fast Food",c(-75.1155573, 39.9512134)
"Market Street Pizzeria","Fast Food",c(-75.1269022, 39.9469406)
"Subway","Fast Food",c(-75.1226703, 39.9470701)
"The Market at Patricias of Holmdel","Fast Food",c(-74.1473231, 40.4114357)
"Fu Lai Chinese Food","Fast Food",c(-75.1053809, 39.9057517)
"Wonder","Fast Food",c(-73.9875825, 40.6673954)
"Joe's Pizza of Park Slope","Fast Food",c(-73.9873611, 40.6676601)
"Joe's Pizza","Fast Food",c(-73.9839044, 40.6718133)
"Henry's","Fast Food",c(-73.9842639, 40.6634377)
"Five Guys","Fast Food",c(-73.9803757, 40.6685782)
"Dunkin'","Fast Food",c(-73.9867769, 40.732945)
"99¢ Pizza","Fast Food",c(-73.9854106, 40.7323739)
"Chen's Express Kitchen","Fast Food",c(-73.9861621, 40.7330368)
"Bite","Fast Food",c(-73.9862083, 40.7330563)
"Happy Burrito","Fast Food",c(-73.9862563, 40.7330765)
"Red House","Fast Food",c(-73.9865838, 40.7332145)
"The Halal Guys","Fast Food",c(-73.9844226, 40.7322882)
"Juice Bar","Fast Food",c(-73.981562, 40.7307493)
"99¢ Pizza","Fast Food",c(-73.9817248, 40.7308171)
"Subway","Fast Food",c(-73.988447, 40.6663654)
"Bagels and Wraps","Fast Food",c(-73.9884126, 40.6664089)
"Super Wok","Fast Food",c(-75.1079939, 39.9297946)
"Bert's Steaks and Subs","Fast Food",c(-75.1112606, 39.937705)
"Sanwar Pizzaria","Fast Food",c(-75.1107536, 39.937374)
"J.S. Breakfast","Fast Food",c(-75.104575, 39.9334304)
"Famous Pizza","Fast Food",c(-75.1039126, 39.9330283)
"Super Crown Chicken","Fast Food",c(-75.1023596, 39.9322447)
"Hung Wan","Fast Food",c(-75.1028746, 39.932364)
"Sicilian Pizza","Fast Food",c(-75.0987265, 39.9290588)
"Wing King","Fast Food",c(-75.0739338, 39.947616)
"Fatty Daddy Tacos","Fast Food",c(-73.9866074, 40.6691449)
"C & Y","Fast Food",c(-73.9850412, 40.6704599)
"Dunkin'","Fast Food",c(-73.9940136, 40.6684787)
"Popeyes","Fast Food",c(-73.9941569, 40.6683085)
"Lee's Famous Recipe Chicken","Fast Food",c(-75.0901113, 39.9461739)
"Roman's Pizza","Fast Food",c(-75.0796157, 39.9387612)
"Orient","Fast Food",c(-75.1224059, 39.9329484)
"Ana's Pizza","Fast Food",c(-75.1227197, 39.9354822)
"Dunkin' Donuts","Fast Food",c(-75.0869837, 39.9225513)
"Munchy Time","Fast Food",c(-75.1130145, 39.9509346)
"Panera Bread","Fast Food",c(-74.4384573, 40.5534696)
"Kennedy Fried Chicken","Fast Food",c(-74.0613836, 40.7305643)
"Toasted Bagels Deli Cafe","Fast Food",c(-74.060001, 40.7316152)
"Poke Zone","Fast Food",c(-73.974431, 40.6805457)
"Shawarma Mia","Fast Food",c(-73.9744126, 40.6805925)
"Subway","Fast Food",c(-74.5413357, 39.4755511)
"Dunkin'","Fast Food",c(-75.3764006, 40.1320613)
"Kimchi Grill","Fast Food",c(-73.9634154, 40.6751058)
"China Wok","Fast Food",c(-74.7576623, 40.3913192)
"Lotus Vietnamese Sandwiches","Fast Food",c(-73.9808988, 40.6755259)
"Burger King","Fast Food",c(-74.0125313, 40.7049052)
"Burger King","Fast Food",c(-74.0192962, 40.8042187)
"Green Leaf's","Fast Food",c(-75.2383022, 39.8754277)
"Domino's","Fast Food",c(-73.979425, 40.7443718)
"First Garden","Fast Food",c(-75.1663738, 40.130567)
"Qdoba","Fast Food",c(-75.1424704, 40.1583157)
"MOD Pizza","Fast Food",c(-75.1411653, 40.1563597)
"Jamba","Fast Food",c(-75.1411164, 40.1563279)
"Omaha Steaks","Fast Food",c(-75.1410448, 40.1562894)
"Sweet Taco","Fast Food",c(-75.1409243, 40.156196)
"Elevation Burger","Fast Food",c(-75.1400551, 40.1556552)
"Tony Roni's","Fast Food",c(-75.1215742, 40.1565387)
"Dunkin'","Fast Food",c(-75.1214772, 40.1557871)
"Domino's","Fast Food",c(-75.120431, 40.1550039)
"Dunkin'","Fast Food",c(-75.1362938, 40.1518974)
"Jimmy John's","Fast Food",c(-75.1363754, 40.1520036)
"Randazzo's Pizza","Fast Food",c(-75.1374976, 40.1527364)
"KFC","Fast Food",c(-74.1874442, 40.4295187)
"Dunkin' Donuts","Fast Food",c(-74.1316925, 40.4358272)
"Dunkin'","Fast Food",c(-74.1074401, 40.4293305)
"Moe's Southwest Grill","Fast Food",c(-74.1227335, 40.4020083)
"Jersey Mike's Subs","Fast Food",c(-74.1129908, 40.3994165)
"Smoothie King","Fast Food",c(-74.1108801, 40.3988383)
"Wahoo's Fish Taco","Fast Food",c(-74.1104541, 40.3987002)
"McDonald's","Fast Food",c(-74.1048934, 40.395897)
"Burger King","Fast Food",c(-74.1015719, 40.3924447)
"Subway","Fast Food",c(-73.9832802, 40.767656)
"Domino's","Fast Food",c(-74.197585, 40.428363)
"Dunkin'","Fast Food",c(-73.9814918, 40.747329)
"Bagel Stop","Fast Food",c(-74.0727005, 40.954161)
"Wadadli Jerk","Fast Food",c(-73.9445852, 40.6847775)
"McDonald's","Fast Food",c(-73.8907053, 40.6762519)
"Chirp","Fast Food",c(-73.9959271, 40.753407)
"Dunkin'","Fast Food",c(-73.9945257, 40.752457)
"Chipotle","Fast Food",c(-73.9943175, 40.752356)
"Golden Chopstick","Fast Food",c(-73.9573738, 40.6718537)
"Veggies Natural Juice Bar","Fast Food",c(-73.957329, 40.6719936)
"Dunkin'","Fast Food",c(-74.3042784, 40.9986125)
"Solo Pizza","Fast Food",c(-73.9830235, 40.7223864)
"Studio 54 Bagels","Fast Food",c(-74.2703581, 40.9376869)
"Domino's","Fast Food",c(-74.2687625, 40.9217363)
"Muffins n' Stuff","Fast Food",c(-74.1764825, 40.9129163)
"Little Caesars","Fast Food",c(-74.1772962, 40.9226435)
"Pollo Campero","Fast Food",c(-74.1723118, 40.9150879)
"Domino's","Fast Food",c(-74.1726862, 40.9154178)
"McDonald's","Fast Food",c(-74.1712752, 40.9163446)
"Subway","Fast Food",c(-74.1697594, 40.9190596)
"Dunkin'","Fast Food",c(-74.1698242, 40.9190484)
"Dunkin'","Fast Food",c(-74.1678932, 40.915761)
"Subway","Fast Food",c(-73.9708398, 40.7513538)
"Shake Shack","Fast Food",c(-73.9756547, 40.7494619)
"Chipotle","Fast Food",c(-73.9759417, 40.7441088)
"East Palace","Fast Food",c(-73.9715786, 40.7510148)
"Subway","Fast Food",c(-74.1651395, 40.9010418)
"McDonald's","Fast Food",c(-73.967355, 40.7608498)
"Chipotle","Fast Food",c(-74.3050163, 40.632709)
"Panda Express","Fast Food",c(-74.3049898, 40.6328558)
"UN Halal","Fast Food",c(-73.969098, 40.7500327)
"Handsome Rice","Fast Food",c(-73.9813081, 40.744687)
"Red Mango","Fast Food",c(-74.3035146, 40.6331068)
"New York Fried Chicken","Fast Food",c(-74.0667144, 40.7319737)
"Subway","Fast Food",c(-73.9183529, 40.7588049)
"Palace Chicken and Grill","Fast Food",c(-73.947153, 40.748256)
"Chicken Shack","Fast Food",c(-73.920659, 40.75989)
"Mokja","Fast Food",c(-73.92146, 40.76027)
"Caravan Chicken","Fast Food",c(-73.921996, 40.760532)
"Dunkin'","Fast Food",c(-73.991579, 40.74878)
"Xi'an Famous Foods","Fast Food",c(-73.9509408, 40.7243187)
"Mac Donalds","Fast Food",c(-75.344183, 39.878658)
"McDonald's","Fast Food",c(-75.424918, 39.834309)
"Dunkin' Donuts","Fast Food",c(-74.9226641, 40.1306932)
"Sanmiwago","Fast Food",c(-73.9955675, 40.7174276)
"Sido","Fast Food",c(-73.9707387, 40.7521571)
"Herbs thai bistro","Fast Food",c(-73.9710081, 40.7519439)
"Playa Bowls","Fast Food",c(-73.9668586, 40.804438)
"Juniors Pizza & Subs","Fast Food",c(-74.3952142, 40.9093204)
"Dunkin' Donuts","Fast Food",c(-74.3979566, 40.908162)
"China Wok","Fast Food",c(-75.1450778, 40.3869864)
"Little Italy Pizza","Fast Food",c(-73.9848919, 40.747607)
"Romano Pizza","Fast Food",c(-73.9783706, 40.7450782)
"Xi'an Famous Foods","Fast Food",c(-73.980706, 40.7558064)
"Cheeburger Cheeburger","Fast Food",c(-75.4534486, 40.1289563)
"Moe's Southwest Grill","Fast Food",c(-75.4521462, 40.1348083)
"Valentino's Pizza","Fast Food",c(-73.9862557, 40.6769217)
"Num Pang","Fast Food",c(-73.9892474, 40.7434816)
"Bombay Sandwich Company","Fast Food",c(-73.9902931, 40.7450047)
"Bubble Tea & Crepes","Fast Food",c(-73.987046, 40.7447164)
"Dunkin'","Fast Food",c(-73.9857818, 40.7441678)
"Chipotle","Fast Food",c(-73.9878679, 40.7442607)
"Così","Fast Food",c(-73.9829239, 40.7445639)
"Subway","Fast Food",c(-73.9837078, 40.7441646)
"Ilili Box","Fast Food",c(-73.989065, 40.7420104)
"Chick-fil-A","Fast Food",c(-73.9861214, 40.7517237)
"Pax","Fast Food",c(-73.984916, 40.753337)
"Heffe Tacos","Fast Food",c(-75.1337645, 39.973131)
"Pret A Manger","Fast Food",c(-73.9735399, 40.7505582)
"Dunkin'","Fast Food",c(-73.9917722, 40.7541018)
"Dos Toros Taqueria","Fast Food",c(-73.9919446, 40.7545942)
"Wok to Walk","Fast Food",c(-73.9913702, 40.7547223)
"Burger King","Fast Food",c(-74.1481531, 40.7471949)
"Subway","Fast Food",c(-73.9537309, 40.5873711)
"I Pizza NY","Fast Food",c(-74.0100064, 40.7159896)
"Jerrell's BETR BRGR","Fast Food",c(-74.0048995, 40.723906)
"McDonald's","Fast Food",c(-75.2250337, 39.958115)
"McDonald's","Fast Food",c(-74.75462, 40.218569)
"Dunkin'","Fast Food",c(-74.753691, 40.218391)
"Chipotle","Fast Food",c(-75.4348869, 40.6396619)
"MOD Pizza","Fast Food",c(-75.4346421, 40.6398289)
"Shake Shack","Fast Food",c(-73.9775547, 40.7528125)
"Burger King","Fast Food",c(-74.2840312, 41.3563747)
"Wendy's","Fast Food",c(-75.0669865, 39.9329189)
"Maoz","Fast Food",c(-73.9893834, 40.7580938)
"Dos Toros Taqueria","Fast Food",c(-74.0022439, 40.7305146)
"Bagels on the Square","Fast Food",c(-74.0021433, 40.7305542)
"Just Salad","Fast Food",c(-73.9940562, 40.7415313)
"Taqueria Diana","Fast Food",c(-73.9937801, 40.7565326)
"24 Hour Deli","Fast Food",c(-73.998824, 40.7119807)
"Nathan's","Fast Food",c(-73.9798841, 40.5732784)
"The Fuel Juice Bar","Fast Food",c(-73.9542734, 40.6809679)
"KFC","Fast Food",c(-73.9493559, 40.6802439)
"McDonald's","Fast Food",c(-73.9503295, 40.6805576)
"Bagel Pub","Fast Food",c(-73.9572354, 40.6722597)
"Num Pang","Fast Food",c(-74.0058893, 40.7424604)
"Bluestone Cafe","Fast Food",c(-73.9637432, 40.6568198)
"Dunkin'","Fast Food",c(-73.9373244, 40.8207203)
"Banhmigos","Fast Food",c(-73.9743083, 40.6755117)
"Roma Pizza","Fast Food",c(-73.9751686, 40.6746487)
"Jennifer Café","Fast Food",c(-73.9871785, 40.7253208)
"Bob's Famous Pizza & Grill","Fast Food",c(-74.510079, 39.4322532)
"Dumplings & Things","Fast Food",c(-73.9845359, 40.6710538)
"Chef Spot","Fast Food",c(-75.2634059, 39.957547)
"Jimmy John's","Fast Food",c(-74.4238698, 40.5407257)
"Dunkin'","Fast Food",c(-74.4240508, 40.5410326)
"Dunkin'","Fast Food",c(-74.6213114, 40.214712)
"Domino's","Fast Food",c(-74.62563, 40.21362)
"Banhmigos","Fast Food",c(-73.9570959, 40.674088)
"Dunkin'","Fast Food",c(-74.1432917, 40.5542233)
"Dunkin'","Fast Food",c(-74.135132, 40.5608758)
"Wendy's","Fast Food",c(-75.3202401, 39.8697004)
"Dunkin'","Fast Food",c(-75.2629313, 40.9995094)
"Subway","Fast Food",c(-75.2434275, 40.9977229)
"Wingstop","Fast Food",c(-73.9820417, 40.6883394)
"Silver Rice","Fast Food",c(-73.9570401, 40.6740762)
"El Barrio Burritos","Fast Food",c(-73.9579018, 40.6712684)
"Nature's Grill","Fast Food",c(-73.9933065, 40.682324)
"The Grape Leaf","Fast Food",c(-73.9969249, 40.6805936)
"Taco Bell","Fast Food",c(-73.9506361, 40.7298076)
"BLT Burger","Fast Food",c(-73.9978613, 40.7355939)
"McDonald's","Fast Food",c(-73.9932306, 40.7291001)
"McDonald's","Fast Food",c(-74.1170962, 40.6655744)
"Dunkin'","Fast Food",c(-74.1168867, 40.6657879)
"Pret A Manger","Fast Food",c(-74.0126334, 40.7063767)
"Ray's Pizza Bagel Cafe","Fast Food",c(-73.9898092, 40.7293549)
"Taïm","Fast Food",c(-73.9817227, 40.666492)
"Playa Bowls","Fast Food",c(-73.9752915, 40.6749454)
"Chipotle","Fast Food",c(-73.9964859, 40.7260399)
"Cape May Popcorn Factory","Fast Food",c(-74.9240461, 38.9318636)
"Dairy Queen","Fast Food",c(-74.9235376, 38.9322331)
"Stewart's","Fast Food",c(-74.9223157, 38.9327316)
"Kohr Bros. Frozen Custard","Fast Food",c(-74.9220027, 38.9328895)
"Quincy's Original Lobster Rolls","Fast Food",c(-74.9179768, 38.9307584)
"Zoe's Cape Cafe","Fast Food",c(-74.9176758, 38.9307443)
"Cione Ice Cream","Fast Food",c(-74.9209918, 38.9338299)
"Blossom Dujour","Fast Food",c(-73.997578, 40.7451151)
"Superiority Burger","Fast Food",c(-73.9834679, 40.7274755)
"Sophie's Cuban Express","Fast Food",c(-73.9737977, 40.7437157)
"Uncle Gussy's","Fast Food",c(-73.973264, 40.7575773)
"Le Bus","Fast Food",c(-75.2372943, 39.8804599)
"Qdoba","Fast Food",c(-75.2373078, 39.8803748)
"Tony Luke's","Fast Food",c(-75.2373246, 39.8803003)
"Sbarro","Fast Food",c(-75.2377756, 39.8803089)
"Philly Pretzel Factory","Fast Food",c(-75.237719, 39.8805101)
"Win Kitchen","Fast Food",c(-75.2377649, 39.8803444)
"Smashburger","Fast Food",c(-75.2377539, 39.8803934)
"Re:Vive","Fast Food",c(-75.2372992, 39.8808698)
"Sbarro","Fast Food",c(-73.9907937, 40.7503277)
"Shake Shack","Fast Food",c(-73.9878729, 40.7513742)
"Sbarro","Fast Food",c(-73.9765793, 40.7629874)
"Sweetgreen","Fast Food",c(-74.0097675, 40.7213348)
"Sweetgreen","Fast Food",c(-73.9886256, 40.7448058)
"Sweetgreen","Fast Food",c(-73.9970047, 40.7211727)
"Los Tacos No.1","Fast Food",c(-74.0050329, 40.7422406)
"Taqueria Diana","Fast Food",c(-73.9879718, 40.7284868)
"Color Me Greens","Fast Food",c(-73.9129462, 40.6992278)
"GreenStreets Salads","Fast Food",c(-73.9238615, 40.7045563)
"Gracie's Water Ice","Fast Food",c(-75.0319785, 39.8974286)
"Naya","Fast Food",c(-73.9857859, 40.7479614)
"Hanco's","Fast Food",c(-73.9902951, 40.6871969)
"750 Myrtle Diner","Fast Food",c(-73.9527731, 40.6948342)
"Breezy Dogs Food Truck","Fast Food",c(-73.8850503, 40.5674552)
"Defonte's Sandwich Shop","Fast Food",c(-74.0054436, 40.6789829)
"Ba Xuyên","Fast Food",c(-73.9996777, 40.6452843)
"Court Street Grocers Hero Shop","Fast Food",c(-74.0130048, 40.6785168)
"McDonald's","Fast Food",c(-74.0667713, 40.8611475)
"Dunkin' Donuts","Fast Food",c(-74.0662617, 40.8617804)
"Subway","Fast Food",c(-75.5610639, 40.5882355)
"Dunkin'","Fast Food",c(-75.4503805, 39.8497619)
"Five Guys","Fast Food",c(-74.558304, 40.9082396)
"Dunkin'","Fast Food",c(-75.2066083, 39.4624521)
"Pizza","Fast Food",c(-75.2107068, 39.4228484)
"Domino's","Fast Food",c(-75.2336824, 39.4299494)
"Mexican","Fast Food",c(-75.2327137, 39.431883)
"Subway","Fast Food",c(-75.2107622, 39.4251811)
"Chinese","Fast Food",c(-75.2091084, 39.4252381)
"Chinese","Fast Food",c(-75.2355384, 39.4273542)
"Georgio's Water Ice","Fast Food",c(-75.4150863, 39.8149562)
"Pizza","Fast Food",c(-75.2098295, 39.425875)
"Chinese","Fast Food",c(-75.0405153, 39.4228244)
"Burgers/ice cream","Fast Food",c(-75.4050447, 39.6786639)
"McDonald's","Fast Food",c(-74.2518094, 40.6985405)
"Just Salad","Fast Food",c(-73.9551153, 40.7769369)
"Pizza","Fast Food",c(-74.8297809, 39.1930748)
"Papaya Dog","Fast Food",c(-74.0012457, 40.7316468)
"Subway","Fast Food",c(-75.2084939, 39.4670747)
"Chipotle","Fast Food",c(-75.4802842, 40.6300228)
"Chick-fil-A","Fast Food",c(-75.4803355, 40.6304203)
"Winner Popup","Fast Food",c(-73.9569434, 40.6730762)
"Court Street Grocers Lunch","Fast Food",c(-73.9555283, 40.7139375)
"Dunkin' Donuts","Fast Food",c(-75.4387221, 39.8307814)
"Wolfnights","Fast Food",c(-73.9885393, 40.7200494)
"McDonald's","Fast Food",c(-73.9882731, 40.7188143)
"Subway","Fast Food",c(-75.474235, 40.6018558)
"Subway","Fast Food",c(-73.9413368, 40.8384169)
"Dino's Pizza & Pasta","Fast Food",c(-73.9259835, 40.7623833)
"Qdoba","Fast Food",c(-74.4383389, 40.5258277)
"Dunkin' Donuts","Fast Food",c(-74.8280766, 40.6433472)
"Dunkin'","Fast Food",c(-74.9700942, 40.6364628)
"Subway","Fast Food",c(-74.9677982, 40.6367925)
"Dunkin'","Fast Food",c(-74.4370099, 40.5233228)
"The Rock Cafe","Fast Food",c(-74.436975, 40.5234675)
"Domino's","Fast Food",c(-74.0762125, 40.6379075)
"Subway","Fast Food",c(-74.0759866, 40.6386895)
"Dunkin'","Fast Food",c(-74.1644825, 40.5761677)
"Dunkin'","Fast Food",c(-74.1653646, 40.5879438)
"Five Guys","Fast Food",c(-75.2350753, 40.9897817)
"Subway","Fast Food",c(-74.1041592, 40.5871825)
"Dunkin'","Fast Food",c(-74.0953181, 40.6443603)
"Dunkin'","Fast Food",c(-74.1040211, 40.6165474)
"Highline Pizzeria","Fast Food",c(-74.0022451, 40.7511098)
"Subway","Fast Food",c(-74.1602368, 40.544913)
"Village Maria Pizza","Fast Food",c(-74.1508122, 40.5503083)
"Dunkin'","Fast Food",c(-74.066653, 40.6153056)
"McDonald's","Fast Food",c(-74.0763527, 40.6299339)
"Pronto Pizza","Fast Food",c(-74.0676505, 40.6171371)
"Papa John's","Fast Food",c(-74.1033464, 40.5775147)
"Dunkin'","Fast Food",c(-74.1086371, 40.5721454)
"Moe's Southwest Grill","Fast Food",c(-74.1077105, 40.573093)
"Dunkin'","Fast Food",c(-74.1127369, 40.5656153)
"Dunkin'","Fast Food",c(-74.4368186, 40.4846652)
"Au Bon Pain","Fast Food",c(-75.1962888, 39.9479351)
"bb.q Chicken","Fast Food",c(-73.9809256, 40.7415576)
"Wok to Walk","Fast Food",c(-73.98901, 40.7361989)
"Blue Ribbon Fried Chicken","Fast Food",c(-73.9909251, 40.7244607)
"Dunkin'","Fast Food",c(-73.9160551, 40.6769856)
"Iris Pizza","Fast Food",c(-73.9165165, 40.6787248)
"Dunkin' Donuts","Fast Food",c(-75.3129704, 41.0478756)
"Red Pine Pizza","Fast Food",c(-74.4366894, 40.4846662)
"Burger King","Fast Food",c(-75.3124482, 41.0417989)
"Popeyes","Fast Food",c(-74.4438408, 40.495522)
"Juice Press","Fast Food",c(-73.9652933, 40.7636204)
"Which Wich?","Fast Food",c(-74.4428937, 40.4919704)
"Popeyes","Fast Food",c(-73.9415929, 40.8229043)
"Dunkin'","Fast Food",c(-74.4433977, 40.4938629)
"Mendel's Pizza","Fast Food",c(-73.981325, 40.6277369)
"Pizza Town","Fast Food",c(-74.2539524, 40.6312552)
"Veggie Grill","Fast Food",c(-73.9902269, 40.7416028)
"Bread & Honey","Fast Food",c(-73.9836701, 40.765985)
"Pret A Manger","Fast Food",c(-73.9930198, 40.7480195)
"Wingstop","Fast Food",c(-75.1582808, 39.977966)
"Patzeria Perfect Pizza Pasta & Grill","Fast Food",c(-73.9868675, 40.7594345)
"Burger King","Fast Food",c(-74.4438279, 40.4954508)
