,Rank,MedianHouseholdIncome,Zip,Population,geometry,Longitude,Latitude
534,535,43563,7202,42171,POINT (-74.21679337 40.65311481),-74.21679337,40.65311481
535,536,43122,7203,21348,POINT (-74.2599225 40.65271514),-74.2599225,40.65271514
536,537,42790,7088,3504,POINT (-74.279892 40.71732515),-74.279892,40.71732515
537,538,42552,7105,51155,POINT (-74.14089465 40.7237724),-74.14089465,40.7237724
538,539,42058,7201,24948,POINT (-74.17839592 40.67240882),-74.17839592,40.67240882
539,540,41508,8618,39195,POINT (-74.78773262 40.24848693),-74.78773262,40.24848693
540,541,41106,7087,68338,POINT (-74.0380945 40.76048318),-74.0380945,40.76048318
541,542,41026,8701,93473,POINT (-74.20322621 40.0765162),-74.20322621,40.0765162
542,543,40461,8232,19355,POINT (-74.51756505 39.39370429),-74.51756505,39.39370429
543,544,40147,8310,2041,POINT (-74.8953976 39.52712184),-74.8953976,39.52712184
544,545,38801,7503,20084,POINT (-74.1513475 40.89568448),-74.1513475,40.89568448
545,546,38399,8901,56016,POINT (-74.44277923 40.48412191),-74.44277923,40.48412191
546,547,38186,8611,26987,POINT (-74.7578195 40.20601149),-74.7578195,40.20601149
547,548,38165,7111,54268,POINT (-74.23178834 40.72418764),-74.23178834,40.72418764
548,549,38142,7018,29353,POINT (-74.21801475 40.75588888),-74.21801475,40.75588888
549,550,37762,8757,33638,POINT (-74.25603364 39.93867809),-74.25603364,39.93867809
550,551,37500,8346,983,POINT (-74.85609277 39.56303962),-74.85609277,39.56303962
551,552,37451,7106,30723,POINT (-74.23032812 40.74179801),-74.23032812,40.74179801
552,553,36911,8759,32508,POINT (-74.35619786 39.97827222),-74.35619786,39.97827222
553,554,36572,7112,26043,POINT (-74.20964496 40.70936763),-74.20964496,40.70936763
554,555,36299,7017,35320,POINT (-74.20716175 40.77208929),-74.20716175,40.77208929
555,556,36167,8751,4300,POINT (-74.07454626 39.94903266),-74.07454626,39.94903266
