,Rank,MedianHouseholdIncome,Zip,Population,geometry,Longitude,Latitude
201,202,92685,7421,7363,POINT (-74.3575215 41.17661821),-74.3575215,41.17661821
202,203,92581,8530,7349,POINT (-74.89665832 40.37145527),-74.89665832,40.37145527
203,204,91985,8036,5836,POINT (-74.8318765 39.97044517),-74.8318765,39.97044517
204,205,91811,7628,17706,POINT (-73.99249221 40.94503257),-73.99249221,40.94503257
205,206,91295,7066,15056,POINT (-74.31370338 40.62021185),-74.31370338,40.62021185
206,207,90938,7838,3885,POINT (-74.91440727 40.88920736),-74.91440727,40.88920736
207,208,90880,7080,23686,POINT (-74.4151787 40.5746824),-74.4151787,40.5746824
208,209,90878,7758,4945,POINT (-74.10366815 40.43067472),-74.10366815,40.43067472
209,210,90682,7803,3657,POINT (-74.60047131 40.87764707),-74.60047131,40.87764707
210,211,90612,8080,35583,POINT (-75.120105 39.77267152),-75.120105,39.77267152
211,212,90324,7850,7008,POINT (-74.66395204 40.90586612),-74.66395204,40.90586612
212,213,90313,8511,775,POINT (-74.55434178 40.04271296),-74.55434178,40.04271296
213,214,90251,7052,46661,POINT (-74.26286292 40.789373),-74.26286292,40.789373
214,215,90000,8020,2467,POINT (-75.224332 39.79160566),-75.224332,39.79160566
215,216,89572,8854,57600,POINT (-74.46344634 40.54658509),-74.46344634,40.54658509
216,217,89519,7014,5097,POINT (-74.13044075 40.82927844),-74.13044075,40.82927844
217,218,89423,8343,5755,POINT (-75.17054017 39.64132466),-75.17054017,39.64132466
218,219,89383,8034,18400,POINT (-74.99930541 39.90604405),-74.99930541,39.90604405
219,220,89050,7874,8773,POINT (-74.70608875 40.93080123),-74.70608875,40.93080123
220,221,88797,8876,22341,POINT (-74.70137108 40.59121472),-74.70137108,40.59121472
221,222,88723,7730,17283,POINT (-74.17566727 40.42482179),-74.17566727,40.42482179
222,223,88542,8221,7071,POINT (-74.57152043 39.34341949),-74.57152043,39.34341949
223,224,88491,8873,51722,POINT (-74.53289139 40.49832357),-74.53289139,40.49832357
224,225,88167,8520,27653,POINT (-74.53052858 40.25421594),-74.53052858,40.25421594
225,226,88159,7825,9432,POINT (-74.96014902 40.97733154),-74.96014902,40.97733154
226,227,87813,8019,1020,POINT (-74.53105101 39.7767564),-74.53105101,39.7767564
227,228,87705,7604,11989,POINT (-74.07405103 40.8618663),-74.07405103,40.8618663
228,229,87639,8048,12460,POINT (-74.80340291 39.95701863),-74.80340291,39.95701863
229,230,87625,8804,2463,POINT (-75.09529159 40.6455466),-75.09529159,40.6455466
230,231,87432,7067,17966,POINT (-74.3148694 40.5926183),-74.3148694,40.5926183
231,232,87426,8527,55285,POINT (-74.34982477 40.10480733),-74.34982477,40.10480733
232,233,87364,8536,19889,POINT (-74.58234233 40.33417694),-74.58234233,40.33417694
233,234,87284,7442,11162,POINT (-74.28564445 41.00265918),-74.28564445,41.00265918
234,235,87178,8620,12409,POINT (-74.62362025 40.16032381),-74.62362025,40.16032381
235,236,87157,7716,8822,POINT (-74.03029099 40.40587022),-74.03029099,40.40587022
236,237,87001,8648,32359,POINT (-74.72178467 40.28482465),-74.72178467,40.28482465
237,238,86602,7755,6417,POINT (-74.0228365 40.26368129),-74.0228365,40.26368129
238,239,86382,7457,3906,POINT (-74.3124738 40.99209883),-74.3124738,40.99209883
239,240,86087,8505,17637,POINT (-74.7402325 40.12019172),-74.7402325,40.12019172
240,241,86016,8241,1088,POINT (-74.48606197 39.53242713),-74.48606197,39.53242713
241,242,85966,7432,7229,POINT (-74.14098307 40.99513769),-74.14098307,40.99513769
242,243,85932,7728,56039,POINT (-74.28575273 40.22539386),-74.28575273,40.22539386
243,244,85893,8533,6501,POINT (-74.4988145 40.06293889),-74.4988145,40.06293889
244,245,85500,8403,1048,POINT (-74.54450794 39.31803337),-74.54450794,39.31803337
245,246,85478,8514,5073,POINT (-74.49644836 40.13299131),-74.49644836,40.13299131
246,247,85301,8054,41813,POINT (-74.90469412 39.9483647),-74.90469412,39.9483647
247,248,85250,8035,7582,POINT (-75.06445985 39.87911765),-75.06445985,39.87911765
248,249,85175,8857,40466,POINT (-74.32922573 40.39235134),-74.32922573,40.39235134
249,250,85035,7110,28509,POINT (-74.15719164 40.81930665),-74.15719164,40.81930665
250,251,85014,7512,10872,POINT (-74.22127302 40.9038595),-74.22127302,40.9038595
251,252,84935,8628,9361,POINT (-74.826233 40.26046608),-74.826233,40.26046608
252,253,84795,7750,3278,POINT (-73.98178216 40.33282709),-73.98178216,40.33282709
253,254,84626,7094,17614,POINT (-74.06452395 40.78139348),-74.06452395,40.78139348
254,255,84598,8542,4740,POINT (-74.66036624 40.35291299),-74.66036624,40.35291299
255,256,84510,8817,44807,POINT (-74.39430789 40.51562471),-74.39430789,40.51562471
256,257,84366,8512,10569,POINT (-74.52636035 40.32058064),-74.52636035,40.32058064
257,258,84351,7843,11899,POINT (-74.66002812 40.93964704),-74.66002812,40.93964704
258,259,84282,7422,6331,POINT (-74.44909749 41.1816241),-74.44909749,41.1816241
259,260,84268,8090,8774,POINT (-75.1505335 39.79237367),-75.1505335,39.79237367
260,261,84110,7095,20688,POINT (-74.28652187 40.55382276),-74.28652187,40.55382276
261,262,83953,7461,19811,POINT (-74.6065466 41.24103667),-74.6065466,41.24103667
262,263,83893,8734,8113,POINT (-74.17404399 39.86213239),-74.17404399,39.86213239
263,264,83750,7822,732,POINT (-74.70514629 41.14032341),-74.70514629,41.14032341
264,265,83632,7444,10808,POINT (-74.30708894 40.96786279),-74.30708894,40.96786279
265,266,83558,7419,8740,POINT (-74.56817114 41.15334923),-74.56817114,41.15334923
266,267,83346,8026,2324,POINT (-74.96562667 39.83309807),-74.96562667,39.83309807
267,268,83311,7034,9648,POINT (-74.38609425 40.88236593),-74.38609425,40.88236593
268,269,82692,8319,1216,POINT (-74.8168838 39.36866802),-74.8168838,39.36866802
269,270,82688,7647,5233,POINT (-73.94274667 41.00669946),-73.94274667,41.00669946
270,271,82385,7070,18297,POINT (-74.10598112 40.82055191),-74.10598112,40.82055191
271,272,82172,8859,21184,POINT (-74.30427769 40.45960306),-74.30427769,40.45960306
272,273,82067,7764,8391,POINT (-74.01853223 40.28830704),-74.01853223,40.28830704
273,274,82056,7856,3722,POINT (-74.62519 40.92154893),-74.62519,40.92154893
274,275,81967,7832,3875,POINT (-75.05733405 40.96058718),-75.05733405,40.96058718
275,276,81885,7506,18944,POINT (-74.156318 40.95642061),-74.156318,40.95642061
276,277,81871,7035,10592,POINT (-74.30490591 40.92542164),-74.30490591,40.92542164
277,278,81862,8742,24330,POINT (-74.06165929 40.08142623),-74.06165929,40.08142623
278,279,81500,7607,9651,POINT (-74.0631664 40.9025188),-74.0631664,40.9025188
279,280,81424,8846,13766,POINT (-74.50106914 40.57441435),-74.50106914,40.57441435
280,281,81250,8098,9213,POINT (-75.32940051 39.63893482),-75.32940051,39.63893482
281,282,81172,7826,6060,POINT (-74.76882204 41.19254993),-74.76882204,41.19254993
282,283,81145,7719,21669,POINT (-74.07252197 40.16876396),-74.07252197,40.16876396
283,284,80995,7012,11818,POINT (-74.15980571 40.84744212),-74.15980571,40.84744212
284,285,80852,7042,25500,POINT (-74.21777852 40.81374285),-74.21777852,40.81374285
285,286,80625,8001,1125,POINT (-75.34982696 39.55072074),-75.34982696,39.55072074
286,287,80549,8902,42245,POINT (-74.4861897 40.44071418),-74.4861897,40.44071418
287,288,80433,8830,18021,POINT (-74.31709792 40.56964808),-74.31709792,40.56964808
288,289,80365,7621,27157,POINT (-73.99847476 40.92370701),-73.99847476,40.92370701
289,290,80313,7439,2415,POINT (-74.59790683 41.07611195),-74.59790683,41.07611195
290,291,80139,7727,7612,POINT (-74.16007687 40.19825545),-74.16007687,40.19825545
291,292,80125,7077,2341,POINT (-74.2530875 40.55810416),-74.2530875,40.55810416
292,293,79921,8872,20639,POINT (-74.3359745 40.44405287),-74.3359745,40.44405287
293,294,79469,7013,25911,POINT (-74.17267298 40.86909774),-74.17267298,40.86909774
294,295,79386,8322,10338,POINT (-75.0352244 39.61417813),-75.0352244,39.61417813
295,296,79333,8741,2758,POINT (-74.16835902 39.9352537),-74.16835902,39.9352537
296,297,79301,7828,14459,POINT (-74.75143339 40.88499797),-74.75143339,40.88499797
297,298,78822,8863,12362,POINT (-74.3130365 40.53640056),-74.3130365,40.53640056
298,299,78625,7424,26639,POINT (-74.20598477 40.8836692),-74.20598477,40.8836692
299,300,78523,7703,328,POINT (-74.04260069 40.31424762),-74.04260069,40.31424762
300,301,78500,8072,266,POINT (-75.4162535 39.54493131),-75.4162535,39.54493131
301,302,78369,7762,8176,POINT (-74.03588984 40.1528612),-74.03588984,40.1528612
302,303,78132,7663,13841,POINT (-74.09550954 40.90312641),-74.09550954,40.90312641
303,304,78036,8353,579,POINT (-75.29698096 39.45939134),-75.29698096,39.45939134
304,305,77935,8732,1560,POINT (-74.14521723 39.94316918),-74.14521723,39.94316918
305,306,77858,7860,26539,POINT (-74.81332142 41.06016419),-74.81332142,41.06016419
306,307,77574,8828,2390,POINT (-74.4242055 40.38066895),-74.4242055,40.38066895
307,308,77500,7605,9135,POINT (-73.98973728 40.863818),-73.98973728,40.863818
308,309,77358,8060,24501,POINT (-74.78939013 40.00867671),-74.78939013,40.00867671
309,310,77330,7885,10315,POINT (-74.60148925 40.91170367),-74.60148925,40.91170367
310,311,77308,8081,49132,POINT (-74.9708355 39.72912091),-74.9708355,39.72912091
311,312,77292,8230,5375,POINT (-74.71735905 39.21270814),-74.71735905,39.21270814
312,313,77282,8721,20802,POINT (-74.16518 39.90217782),-74.16518,39.90217782
313,314,77273,7721,3111,POINT (-74.23550977 40.43574137),-74.23550977,40.43574137
314,315,77158,8008,6833,POINT (-74.20520903 39.60946758),-74.20520903,39.60946758
315,316,76959,8097,3235,POINT (-75.15800475 39.81903649),-75.15800475,39.81903649
316,317,76905,8075,29316,POINT (-74.94972208 40.02932043),-74.94972208,40.02932043
317,318,76875,8202,1953,POINT (-74.75155225 39.07883384),-74.75155225,39.07883384
318,319,76548,8837,16601,POINT (-74.34504127 40.51599811),-74.34504127,40.51599811
319,320,76513,7027,4323,POINT (-74.32313697 40.65124889),-74.32313697,40.65124889
320,321,76359,7054,29642,POINT (-74.40225477 40.855644),-74.40225477,40.855644
321,322,76279,8722,11127,POINT (-74.20212948 39.92818574),-74.20212948,39.92818574
322,323,76250,8554,4007,POINT (-74.77803271 40.11651357),-74.77803271,40.11651357
323,323,76250,8317,1453,POINT (-74.83778225 39.40336689),-74.83778225,39.40336689
324,323,76250,8555,739,POINT (-74.47167232 40.21990922),-74.47167232,40.21990922
325,326,76110,8884,8359,POINT (-74.39140134 40.39514858),-74.39140134,40.39514858
326,327,76071,8108,17932,POINT (-75.06177358 39.91429041),-75.06177358,39.91429041
327,327,76071,8042,70,POINT (-74.66227818 40.01538715),-74.66227818,40.01538715
328,329,76030,7724,21749,POINT (-74.07482964 40.29844462),-74.07482964,40.29844462
329,330,75957,7603,8277,POINT (-74.02939183 40.87522256),-74.02939183,40.87522256
330,331,75918,7083,53811,POINT (-74.2897325 40.70072117),-74.2897325,40.70072117
331,332,75858,8043,29227,POINT (-74.93607375 39.84473914),-74.93607375,39.84473914
332,333,75669,8009,12529,POINT (-74.93389406 39.76516502),-74.93389406,39.76516502
333,334,75480,8753,63764,POINT (-74.18626324 39.98105213),-74.18626324,39.98105213
334,335,75104,7420,4740,POINT (-74.30116469 41.0324441),-74.30116469,41.0324441
335,336,75089,8352,568,POINT (-75.12797978 39.47573197),-75.12797978,39.47573197
336,337,75071,7646,16524,POINT (-74.01948713 40.93378702),-74.01948713,40.93378702
337,338,74911,8887,1022,POINT (-74.803126 40.52079054),-74.803126,40.52079054
338,339,74806,7840,29132,POINT (-74.83571748 40.8540768),-74.83571748,40.8540768
339,340,74609,7846,83,POINT (-74.8770679 40.96593997),-74.8770679,40.96593997
340,341,74607,7882,14498,POINT (-75.0090595 40.75799978),-75.0090595,40.75799978
341,342,74539,8050,25066,POINT (-74.25867589 39.71035342),-74.25867589,39.71035342
342,343,74538,7701,23828,POINT (-74.09308752 40.35723332),-74.09308752,40.35723332
343,344,74281,8016,33148,POINT (-74.82977001 40.06934548),-74.82977001,40.06934548
344,345,73685,8879,22885,POINT (-74.27363118 40.46850334),-74.27363118,40.46850334
345,346,73565,8869,7318,POINT (-74.64321452 40.5730299),-74.64321452,40.5730299
346,347,73389,7662,5644,POINT (-74.07941141 40.9072016),-74.07941141,40.9072016
347,348,73377,8088,24327,POINT (-74.69259439 39.84922831),-74.69259439,39.84922831
348,349,73193,7631,27342,POINT (-73.97348378 40.89171717),-73.97348378,40.89171717
349,350,73162,8247,790,POINT (-74.785356 39.05396681),-74.785356,39.05396681
350,351,73094,8880,4585,POINT (-74.52786508 40.55354959),-74.52786508,40.55354959
351,352,73060,7403,7808,POINT (-74.33189424 41.02125991),-74.33189424,41.02125991
352,353,72991,7863,4311,POINT (-74.96037426 40.81288775),-74.96037426,40.81288775
353,354,72917,7001,17479,POINT (-74.27008896 40.58338861),-74.27008896,40.58338861
354,355,72874,7086,13113,POINT (-74.02083237 40.76818562),-74.02083237,40.76818562
355,356,72829,7462,6741,POINT (-74.4910885 41.18764223),-74.4910885,41.18764223
356,357,72500,7723,1035,POINT (-74.00068569 40.2505079),-74.00068569,40.2505079
357,358,72324,8234,42802,POINT (-74.62325543 39.38833184),-74.62325543,39.38833184
358,359,71995,7064,3836,POINT (-74.23887725 40.57011244),-74.23887725,40.57011244
359,360,71875,8006,499,POINT (-74.107189 39.75362936),-74.107189,39.75362936
360,361,71848,7071,21207,POINT (-74.12616388 40.81005),-74.12616388,40.81005
361,362,71847,7072,6189,POINT (-74.06137174 40.82496859),-74.06137174,40.82496859
362,363,71750,7031,15587,POINT (-74.1269173 40.78725154),-74.1269173,40.78725154
363,364,71494,7003,47624,POINT (-74.187259 40.80723509),-74.187259,40.80723509
364,365,71164,8223,4013,POINT (-74.66217287 39.26791782),-74.66217287,39.26791782
365,366,71146,8324,450,POINT (-74.99639578 39.21692149),-74.99639578,39.21692149
366,367,71000,8067,1789,POINT (-75.41215092 39.73766573),-75.41215092,39.73766573
367,368,70934,7073,9298,POINT (-74.08579736 40.81875575),-74.08579736,40.81875575
368,369,70771,8361,17299,POINT (-74.95959417 39.44881261),-74.95959417,39.44881261
369,370,70698,8094,40075,POINT (-74.9672818 39.65358602),-74.9672818,39.65358602
370,371,70659,8086,7712,POINT (-75.19294319 39.8526531),-75.19294319,39.8526531
371,372,70648,8002,22187,POINT (-75.02538508 39.93131341),-75.02538508,39.93131341
372,373,70593,8758,7649,POINT (-74.23504446 39.7895243),-74.23504446,39.7895243
373,374,70564,8004,12439,POINT (-74.86993747 39.76468639),-74.86993747,39.76468639
374,375,70551,8012,40616,POINT (-75.05492017 39.78520631),-75.05492017,39.78520631
375,376,70336,7717,1810,POINT (-74.01638849 40.19133604),-74.01638849,40.19133604
376,377,70208,8092,3193,POINT (-74.28662532 39.65881861),-74.28662532,39.65881861
377,378,70169,8210,18100,POINT (-74.82608257 39.11912429),-74.82608257,39.11912429
378,379,70089,8724,43100,POINT (-74.11613764 40.09192733),-74.11613764,40.09192733
379,380,70032,8318,12171,POINT (-75.17647106 39.55632657),-75.17647106,39.55632657
380,381,69897,8831,47706,POINT (-74.42909893 40.32683547),-74.42909893,40.32683547
381,382,69879,8106,9843,POINT (-75.073024 39.88927819),-75.073024,39.88927819
382,383,69773,8752,2199,POINT (-74.08188881 39.89474567),-74.08188881,39.89474567
383,384,69766,7737,3997,POINT (-74.06478916 40.4100371),-74.06478916,40.4100371
384,385,69641,7508,22790,POINT (-74.18439827 40.95445608),-74.18439827,40.95445608
385,386,69510,8071,9727,POINT (-75.13381115 39.73234758),-75.13381115,39.73234758
386,387,69472,8027,4844,POINT (-75.27943994 39.82444427),-75.27943994,39.82444427
387,388,69466,7657,11191,POINT (-74.01455057 40.83121952),-74.01455057,40.83121952
388,389,68828,8051,11336,POINT (-75.18810425 39.78253446),-75.18810425,39.78253446
389,390,68555,8344,5243,POINT (-74.97817648 39.56615604),-74.97817648,39.56615604
390,391,68474,8046,31718,POINT (-74.8860414 40.02775349),-74.8860414,40.02775349
391,392,68399,7416,5818,POINT (-74.59911367 41.1172362),-74.59911367,41.1172362
392,393,68327,8314,3251,POINT (-74.94238407 39.21793823),-74.94238407,39.21793823
393,394,67929,8619,22639,POINT (-74.69607677 40.24119849),-74.69607677,40.24119849
394,394,67929,8723,31648,POINT (-74.10850149 40.03754664),-74.10850149,40.03754664
395,396,67721,7735,20038,POINT (-74.196774 40.43213794),-74.196774,40.43213794
396,397,67500,7407,19921,POINT (-74.12011413 40.90474385),-74.12011413,40.90474385
397,398,67439,8270,8792,POINT (-74.79783836 39.27155136),-74.79783836,39.27155136
398,399,67335,7024,36020,POINT (-73.97350299 40.85013992),-73.97350299,40.85013992
399,400,67292,8735,3019,POINT (-74.07164996 39.96801788),-74.07164996,39.96801788
400,401,67241,8091,5360,POINT (-74.9297675 39.81081744),-74.9297675,39.81081744
401,402,67190,8005,22624,POINT (-74.35845925 39.76348828),-74.35845925,39.76348828
402,403,67069,8225,8658,POINT (-74.54809081 39.36753969),-74.54809081,39.36753969
403,404,66967,8096,35212,POINT (-75.1266466 39.82690035),-75.1266466,39.82690035
404,405,66859,8755,25845,POINT (-74.20428125 40.02057692),-74.20428125,40.02057692
405,406,66786,7606,2582,POINT (-74.0531925 40.87059153),-74.0531925,40.87059153
406,407,66731,7732,5006,POINT (-73.99678249 40.45841195),-73.99678249,40.45841195
407,408,66667,8039,125,POINT (-75.2727015 39.68672183),-75.2727015,39.68672183
408,409,66500,8518,5123,POINT (-74.80710709 40.11734958),-74.80710709,40.11734958
409,410,66477,8326,1843,POINT (-74.93689425 39.53239511),-74.93689425,39.53239511
410,411,66436,8805,12437,POINT (-74.537133 40.56861564),-74.537133,40.56861564
411,412,66414,8904,14224,POINT (-74.4289405 40.49812351),-74.4289405,40.49812351
412,413,66360,8329,72,POINT (-75.00192167 39.27731437),-75.00192167,39.27731437
413,414,66325,8084,6997,POINT (-75.01545765 39.82895688),-75.01545765,39.82895688
414,415,66298,8109,23047,POINT (-75.0603655 39.94345157),-75.0603655,39.94345157
415,416,66250,7062,12580,POINT (-74.4033264 40.63161642),-74.4033264,40.63161642
416,417,66152,8059,5536,POINT (-75.0928356 39.88451374),-75.0928356,39.88451374
417,418,66056,8562,5313,POINT (-74.59466286 40.06638328),-74.59466286,40.06638328
418,419,65781,8089,4599,POINT (-74.82427931 39.71823967),-74.82427931,39.71823967
419,420,65750,8731,19776,POINT (-74.29949457 39.89135056),-74.29949457,39.89135056
420,421,65710,7109,36121,POINT (-74.16189243 40.79495543),-74.16189243,40.79495543
421,422,65568,8402,6343,POINT (-74.50622173 39.33040989),-74.50622173,39.33040989
422,423,65564,7063,13960,POINT (-74.44599297 40.60502132),-74.44599297,40.60502132
423,424,65509,8882,16177,POINT (-74.378153 40.4452738),-74.378153,40.4452738
424,425,65093,8029,4575,POINT (-75.0677704 39.84064442),-75.0677704,39.84064442
425,426,65074,8028,19908,POINT (-75.12059154 39.69439845),-75.12059154,39.69439845
426,427,64741,7660,12875,POINT (-74.01981461 40.85445309),-74.01981461,40.85445309
427,428,64457,7801,26138,POINT (-74.551089 40.94789785),-74.551089,40.94789785
428,429,64333,8015,20398,POINT (-74.53780751 39.93298923),-74.53780751,39.93298923
429,430,64294,7008,23770,POINT (-74.2286913 40.58484826),-74.2286913,40.58484826
430,431,63810,7643,10773,POINT (-74.03856954 40.84630207),-74.03856954,40.84630207
431,432,63651,7827,4236,POINT (-74.73937024 41.2922722),-74.73937024,41.2922722
432,433,63598,8065,7372,POINT (-75.035071 40.00536195),-75.035071,40.00536195
433,434,63446,8037,24002,POINT (-74.757994 39.63403191),-74.757994,39.63403191
434,435,63438,8323,953,POINT (-75.36610608 39.39571146),-75.36610608,39.39571146
435,435,63438,7074,2741,POINT (-74.0489545 40.8399513),-74.0489545,40.8399513
436,437,63417,8312,7896,POINT (-75.08028988 39.66134404),-75.08028988,39.66134404
437,438,63093,7032,41538,POINT (-74.12198415 40.7548237),-74.12198415,40.7548237
438,439,62787,8835,10426,POINT (-74.58917369 40.54205919),-74.58917369,40.54205919
439,440,62770,8740,2072,POINT (-74.13519423 39.92602914),-74.13519423,39.92602914
440,441,62491,7036,42527,POINT (-74.23924065 40.62531369),-74.23924065,40.62531369
441,442,61875,8243,1824,POINT (-74.69340558 39.15860428),-74.69340558,39.15860428
442,443,61561,8205,28253,POINT (-74.46508376 39.4825898),-74.46508376,39.4825898
443,444,61507,8640,7892,POINT (-74.62267 39.99954381),-74.62267,39.99954381
444,445,61122,7204,13465,POINT (-74.26670564 40.66526485),-74.26670564,40.66526485
445,446,61094,8327,2235,POINT (-74.9541645 39.24880833),-74.9541645,39.24880833
446,447,61089,8087,24430,POINT (-74.37571272 39.59518409),-74.37571272,39.59518409
447,448,60958,8063,3132,POINT (-75.18199568 39.86527794),-75.18199568,39.86527794
448,449,60947,8010,11491,POINT (-74.91411597 40.05337477),-74.91411597,40.05337477
449,450,60859,8224,516,POINT (-74.45974745 39.59852879),-74.45974745,39.59852879
450,451,60691,8330,28501,POINT (-74.74104213 39.47585208),-74.74104213,39.47585208
451,452,60690,8733,2765,POINT (-74.32535987 40.02632447),-74.32535987,40.02632447
452,453,60347,8311,2094,POINT (-75.21007399 39.32759848),-75.21007399,39.32759848
453,454,60216,7720,4290,POINT (-74.01279953 40.20175512),-74.01279953,40.20175512
454,455,59740,8610,29127,POINT (-74.71575229 40.19247745),-74.71575229,40.19247745
455,456,59720,7205,21676,POINT (-74.22866239 40.6960213),-74.22866239,40.6960213
456,457,59660,7753,37820,POINT (-74.07854612 40.21493683),-74.07854612,40.21493683
457,458,59522,8226,11520,POINT (-74.60306701 39.26210013),-74.60306701,39.26210013
458,459,59508,7650,20010,POINT (-73.99666187 40.84708222),-73.99666187,40.84708222
459,460,59474,8201,10187,POINT (-74.49801546 39.42928053),-74.49801546,39.42928053
